id,company,gap,location,status,priority,opened_at,note
bc7472b3-13e3-4272-a6e6-690808ddb914,בשור,מיטה שבורה,"פינת גלח""צ",טופל,בינוני,2026-04-05,דווח כבר פעם קודמת
38559bcd-0cc1-481b-a3f1-d185562701a7,תמר,משקוף עקום,פינת עישון,טרם הועלה,בינוני,2026-03-31,
3da05697-894f-44da-b6c9-cc6da4089c3e,בשור,ידית דלת שבורה,"פינת גלח""צ",טרם הועלה,בינוני,2026-07-28,צריך להזמין קבלן חיצוני
1dc34329-6b0f-4dab-810c-e6895f6574a0,צין,חוט חשמל חשוף,"פינת גלח""צ",בטיפול,גבוה,2026-06-01,
33151516-4a20-4ec3-a511-89c8148c247d,צין,מדחום/גלאי עשן לא תקין,מגורי בנות,בטיפול,בינוני,2026-08-04,יטופל בסבב הבא
0e75a550-4510-4771-8781-253e4e602a07,רמון,ריצוף סדוק,"פינת גלח""צ",טופל,גבוה,2026-03-27,
7f556dbf-daf4-47cb-a6e4-9711f1838acf,צין,פח אשפה מלא וגדוש,מגורי בנות,טרם הועלה,בינוני,2026-03-29,
aef77337-dc7f-47e9-b7ac-7dc125849a8a,צין,וילון/תריס שבור,פינת פריסה,טרם הועלה,בינוני,2026-09-04,יטופל בסבב הבא
e668bda0-14bd-4df9-bf4c-8342bf633db5,בשור,מנעול תקול,שביל,בטיפול,נמוך,2026-07-07,השביל בין הפינות
09733401-f58f-40f1-b2e4-a92f154432a5,תמר,מקלחת סתומה,"פינת גלח""צ",בטיפול,נמוך,2026-03-26,
b6b35ddb-7911-4dd7-9e24-c125c1d0b5e0,תמר,כבל חשמל מונח על הרצפה,מתחם קמנים,בטיפול,גבוה,2026-08-04,
5a609d4a-a7aa-4edd-8f50-8f798dd9ccf8,צין,מיטה שבורה,ספריית קמנים,בטיפול,גבוה,2026-09-10,יטופל בסבב הבא
295dd0ca-f65b-451e-9b49-dfa6ed249bc2,רמון,מקלחת בלי לחץ מים,"פינת קק""ס",בטיפול,בינוני,2026-08-12,חומרים בדרך
78329a76-5fae-4053-8c64-eda258e14794,צין,כיור סתום,"פינת גלח""צ",טופל,גבוה,2026-08-15,
a67de9e6-80bf-402f-a9db-18b7c51ff3c5,בשור,שולחן שבור,פינת עישון,בטיפול,בינוני,2026-08-17,דווח כבר פעם קודמת
9fc196f6-aa26-4695-9117-411036dfe209,פארן,שולחן שבור,ספריית קמנים,בטיפול,גבוה,2026-05-05,חומרים בדרך
7aee7d52-4b3c-4d67-91db-ef9d484e5045,רמון,כיור שבור,מתחם קמנים,בטיפול,גבוה,2026-05-12,חומרים בדרך
d8982b5f-40e6-461e-935c-d3b474574059,תמר,תאורת חוץ כבויה,פינת פריסה,טרם הועלה,גבוה,2026-05-20,
de982737-c465-41c4-92d6-c3ae9d61aaf7,פארן,אין מים חמים,רחבת רמון,טרם הועלה,גבוה,2026-07-12,
0a85e8fc-4cca-48d0-ad2b-9c7581847176,צין,ארון בגדים שבור,"פינת קק""ס",בטיפול,גבוה,2026-03-31,
a08a8a9a-9905-4cdd-932f-934a813d9ad0,צין,חוט חשמל חשוף,"פינת קק""ס",טרם הועלה,בינוני,2026-08-18,צריך להזמין קבלן חיצוני
6abee92c-0dc4-4ec0-a8bc-3d47ac9c5f02,פארן,חלון בלי רשת יתושים,מתחם קמנים,טרם הועלה,גבוה,2026-05-31,דווח כבר פעם קודמת
a12345b9-284a-49b6-8ef1-8e58de031c35,בשור,מעקה רופף,מגורי בנות,בטיפול,בינוני,2026-06-17,דווח כבר פעם קודמת
541db043-2baf-4d56-a58c-24823210c74c,בשור,אסלה סתומה,מתחם קמנים,טרם הועלה,נמוך,2026-04-05,
dacd4a3b-f3e6-49aa-8535-90cadd0592e7,צין,כיור סתום,מגורי בנים,טרם הועלה,נמוך,2026-07-06,
a1f2a7da-fc97-4efd-8881-8b3843f981ef,צין,אין תאורת חירום,דשא,טופל,בינוני,2026-03-22,הדשא בכניסה למתחם
0633f2eb-2ac5-4081-8007-cb90efa71a22,צין,פח אשפה מלא וגדוש,"פינת קק""ס",טרם הועלה,גבוה,2026-06-20,
2fcddd5d-12cb-46ea-b801-5c8eaf7fc139,בשור,רשת צל קרועה,"דקצ""ו (דק קמנים)",בטיפול,נמוך,2026-09-07,
6c455b85-4194-4435-adae-bb3a80c7bf6a,פארן,כביש גישה עם בור,מגורי בנים,טופל,בינוני,2026-07-06,צריך להזמין קבלן חיצוני
9c1d567b-cdd2-4d23-8ac1-e27f2d6a3779,צין,אין מים חמים,"דקצ""ו (דק קמנים)",טרם הועלה,בינוני,2026-04-05,
9241b8f7-e0f3-47af-a750-51d8d8591271,פארן,מקלחת בלי לחץ מים,"דקצ""ו (דק קמנים)",טרם הועלה,נמוך,2026-08-30,
76c94061-4cd1-4f2d-9122-18cd416bfcee,פארן,נורה שרופה,"דקצ""ו (דק קמנים)",בטיפול,גבוה,2026-05-20,דחוף לטפל השבוע
08b5e62f-95dd-4c5c-9d31-2b874adabd04,צין,מקלחת סתומה,מגורי בנות,טרם הועלה,בינוני,2026-09-08,מחכים לאישור תקציב
ddc5d51a-1cf8-43c3-9bbf-e3265cdcc0cd,תמר,צנרת חשופה,פינת פריסה,טרם הועלה,נמוך,2026-05-20,מחכים לאישור תקציב
115f11c7-7ae4-4206-963f-4b34671f9f30,צין,אסלה סתומה,מתחם קמנים,טופל,בינוני,2026-06-03,דווח כבר פעם קודמת
ee62a080-22d7-460d-97ff-a45423fd8881,פארן,דלת לא נסגרת טוב,פינת פריסה,בטיפול,גבוה,2026-03-15,
667ee5a9-4e10-4942-a558-5183913b8444,תמר,חוט חשמל חשוף,מגורי בנות,בטיפול,נמוך,2026-08-24,
23b9e66d-7ced-405a-a059-9e9c238ea1b2,פארן,רשת צל קרועה,מגורי בנים,טופל,נמוך,2026-03-25,
f23ee1ab-6e1e-4301-aeb3-b37e5a8ce000,פארן,שולחן שבור,"פינת קק""ס",טרם הועלה,גבוה,2026-06-28,
afd78cc8-99f0-4975-83f8-ae5b652fdeb1,רמון,תאורת חוץ כבויה,"דקצ""ו (דק קמנים)",טופל,נמוך,2026-06-10,
f74aecb4-8609-4f8c-9603-3a4021f4c7e1,פארן,מעקה רופף,מגורי בנות,טרם הועלה,גבוה,2026-06-24,
6cd5856e-a07d-4627-b21b-0ae11d6f53fb,רמון,כבל חשמל מונח על הרצפה,"פינת גלח""צ",בטיפול,גבוה,2026-07-02,
2722704b-247b-440a-9a07-951b201920ec,רמון,דלת שבורה,מגורי בנים,טופל,גבוה,2026-07-06,צריך להזמין קבלן חיצוני
3657d525-21e6-40c3-8cd0-1c3edcd59a32,רמון,מקלחת בלי לחץ מים,מגורי בנות,טרם הועלה,גבוה,2026-06-27,
c7a0c89c-e37a-480d-9308-6f65537f1704,תמר,בור בריצוף,רחבת רמון,טרם הועלה,בינוני,2026-04-12,דחוף לטפל השבוע
df83c64a-1a7d-40aa-95b5-7695f044feec,רמון,ברזייה לא עובדת,"פינת קק""ס",בטיפול,גבוה,2026-04-06,צריך להזמין קבלן חיצוני
7444a9af-c6f3-4fcd-8a53-12f06245d0c7,רמון,וילון/תריס שבור,"פינת קק""ס",טופל,גבוה,2026-03-16,חומרים בדרך
667f6048-4529-4b5b-9ea0-c9b8fefad6a9,צין,חלון בלי רשת יתושים,ספריית קמנים,טופל,בינוני,2026-09-07,
55e0a528-c4f1-4f5e-b233-214a12d7631e,תמר,שולחן שבור,מגורי בנות,בטיפול,נמוך,2026-08-08,חומרים בדרך
edb61648-a2dc-4caf-b160-efcd2677c947,צין,מזרן קרוע,מגורי בנות,טרם הועלה,בינוני,2026-04-04,דחוף לטפל השבוע
cc3aaccc-6bad-49f1-9269-6063b84692cb,רמון,אין תאורת חירום,מגורי בנות,בטיפול,בינוני,2026-05-18,
db7705a8-cdbe-4fd0-be2e-ed23b923a7e0,פארן,חלון סדוק,רחבת רמון,טרם הועלה,בינוני,2026-04-30,דחוף לטפל השבוע
abf57f2d-8b62-4327-ad4f-cd49c51c5984,תמר,מזרן קרוע,פינת פריסה,טרם הועלה,בינוני,2026-07-21,צריך להזמין קבלן חיצוני
76b2b77c-8e68-4b50-bfa9-39301a620f70,בשור,מדחום/גלאי עשן לא תקין,מגורי בנים,טופל,בינוני,2026-05-12,
3179a6d1-0841-44d7-8a83-cea293b1ecff,פארן,מדחום/גלאי עשן לא תקין,מגורי בנים,טרם הועלה,בינוני,2026-04-11,יטופל בסבב הבא
01903d36-9134-47fa-89cd-f532c0c81e93,בשור,צבע מתקלף,פינת ישיבה,בטיפול,בינוני,2026-09-08,
5365485e-b9cc-45f4-8f6b-f8d715287e9c,תמר,ארון בגדים שבור,רחבת רמון,טרם הועלה,בינוני,2026-05-09,מחכים לאישור תקציב
b6c841a9-84a4-411d-816e-6a87fe0de4b5,פארן,חלון בלי רשת יתושים,פינת עישון,טופל,בינוני,2026-08-12,מחכים לאישור תקציב
d139851a-b39d-4ada-aefb-87cac3597e8a,תמר,כיור סתום,מגורי בנות,בטיפול,נמוך,2026-06-29,צריך להזמין קבלן חיצוני
44e0a538-b25c-4b5c-9eca-2ea8fcc8c105,רמון,כיור שבור,פינת פריסה,טרם הועלה,גבוה,2026-07-20,דווח כבר פעם קודמת
ef9a5e9e-1406-49e5-a534-fa3537cba188,בשור,משקוף עקום,פינת ישיבה,טופל,בינוני,2026-04-10,דווח כבר פעם קודמת
35bbfe6a-e4b6-4538-bbf9-1c199fa7d097,בשור,חוט חשמל חשוף,פינת פריסה,טופל,בינוני,2026-05-07,
5750c9ac-ffeb-4365-8405-5a54bd292370,צין,פח אשפה חסר,"פינת גלח""צ",בטיפול,בינוני,2026-03-21,דווח כבר פעם קודמת
4be9b12f-c250-4e0d-98c7-be5903f98ed7,פארן,וילון/תריס שבור,דשא,טרם הועלה,בינוני,2026-06-23,הדשא באזור הרחבה
